Contract_ID,Train_ID,Advertiser,Date,Required_Hours,Actual_Hours,KMRL_Service_Hours,Compliance_Percentage,Shortfall_Hours,Penalty_Rate_Per_Hour,Penalty_Incurred,Contract_Value,Status,Priority,Route_Coverage_Pct,Notes
BRD-001,CR102,Lulu Mall,2025-01-20,15.5,17.5,17.5,100.0,0.0,1000,0.0,750000,Compliant,Normal,85.9,Service delivery against 15.5h minimum requirement
BRD-001,CR102,Lulu Mall,2025-01-19,15.5,17.1,17.5,100.0,0.0,1000,0.0,750000,Compliant,Normal,84.1,Service delivery against 15.5h minimum requirement
BRD-001,CR102,Lulu Mall,2025-01-18,15.5,17.8,17.5,100.0,0.0,1000,0.0,750000,Compliant,Normal,89.0,Service delivery against 15.5h minimum requirement
BRD-001,CR102,Lulu Mall,2025-01-17,15.5,18.0,17.5,100.0,0.0,1000,0.0,750000,Compliant,Normal,96.2,Service delivery against 15.5h minimum requirement
BRD-001,CR102,Lulu Mall,2025-01-16,15.5,18.0,17.5,100.0,0.0,1000,0.0,750000,Compliant,Normal,92.5,Service delivery against 15.5h minimum requirement
BRD-001,CR102,Lulu Mall,2025-01-15,15.5,17.0,17.5,100.0,0.0,1000,0.0,750000,Compliant,Normal,83.2,Service delivery against 15.5h minimum requirement
BRD-001,CR102,Lulu Mall,2025-01-14,15.5,17.3,17.5,100.0,0.0,1000,0.0,750000,Compliant,Normal,94.6,Service delivery against 15.5h minimum requirement
BRD-002,CR105,MyG Digital,2025-01-20,14.0,17.8,17.5,100.0,0.0,1000,0.0,600000,Compliant,Normal,90.5,Service delivery against 14.0h minimum requirement
BRD-002,CR105,MyG Digital,2025-01-19,14.0,17.5,17.5,100.0,0.0,1000,0.0,600000,Compliant,Normal,84.1,Service delivery against 14.0h minimum requirement
BRD-002,CR105,MyG Digital,2025-01-18,14.0,17.8,17.5,100.0,0.0,1000,0.0,600000,Compliant,Normal,78.8,Service delivery against 14.0h minimum requirement
BRD-002,CR105,MyG Digital,2025-01-17,14.0,13.6,17.5,97.2,0.4,1000,394.0,600000,Compliant,Normal,81.4,Service delivery against 14.0h minimum requirement
BRD-002,CR105,MyG Digital,2025-01-16,14.0,17.7,17.5,100.0,0.0,1000,0.0,600000,Compliant,Normal,90.7,Service delivery against 14.0h minimum requirement
BRD-002,CR105,MyG Digital,2025-01-15,14.0,17.0,17.5,100.0,0.0,1000,0.0,600000,Compliant,Normal,89.7,Service delivery against 14.0h minimum requirement
BRD-002,CR105,MyG Digital,2025-01-14,14.0,17.9,17.5,100.0,0.0,1000,0.0,600000,Compliant,Normal,87.3,Service delivery against 14.0h minimum requirement
BRD-003,CR108,Federal Bank,2025-01-20,16.0,17.5,17.5,100.0,0.0,1000,0.0,800000,Compliant,Normal,95.6,Service delivery against 16.0h minimum requirement
BRD-003,CR108,Federal Bank,2025-01-19,16.0,17.1,17.5,100.0,0.0,1000,0.0,800000,Compliant,Normal,91.3,Service delivery against 16.0h minimum requirement
BRD-003,CR108,Federal Bank,2025-01-18,16.0,17.9,17.5,100.0,0.0,1000,0.0,800000,Compliant,Normal,76.1,Service delivery against 16.0h minimum requirement
BRD-003,CR108,Federal Bank,2025-01-17,16.0,17.5,17.5,100.0,0.0,1000,0.0,800000,Compliant,Normal,75.3,Service delivery against 16.0h minimum requirement
BRD-003,CR108,Federal Bank,2025-01-16,16.0,14.0,17.5,87.5,2.0,2500,4980.0,800000,Minor_Shortfall,Medium,84.0,Service delivery against 16.0h minimum requirement
BRD-003,CR108,Federal Bank,2025-01-15,16.0,17.9,17.5,100.0,0.0,1000,0.0,800000,Compliant,Normal,86.2,Service delivery against 16.0h minimum requirement
BRD-003,CR108,Federal Bank,2025-01-14,16.0,17.3,17.5,100.0,0.0,1000,0.0,800000,Compliant,Normal,88.8,Service delivery against 16.0h minimum requirement
BRD-004,CR112,Kerala Tourism,2025-01-20,13.5,14.5,17.5,100.0,0.0,1000,0.0,500000,Compliant,Normal,77.8,Service delivery against 13.5h minimum requirement
BRD-004,CR112,Kerala Tourism,2025-01-19,13.5,14.6,17.5,100.0,0.0,1000,0.0,500000,Compliant,Normal,84.6,Service delivery against 13.5h minimum requirement
BRD-004,CR112,Kerala Tourism,2025-01-18,13.5,17.0,17.5,100.0,0.0,1000,0.0,500000,Compliant,Normal,89.7,Service delivery against 13.5h minimum requirement
BRD-004,CR112,Kerala Tourism,2025-01-17,13.5,16.4,17.5,100.0,0.0,1000,0.0,500000,Compliant,Normal,94.4,Service delivery against 13.5h minimum requirement
BRD-004,CR112,Kerala Tourism,2025-01-16,13.5,17.1,17.5,100.0,0.0,1000,0.0,500000,Compliant,Normal,93.0,Service delivery against 13.5h minimum requirement
BRD-004,CR112,Kerala Tourism,2025-01-15,13.5,17.8,17.5,100.0,0.0,1000,0.0,500000,Compliant,Normal,90.8,Service delivery against 13.5h minimum requirement
BRD-004,CR112,Kerala Tourism,2025-01-14,13.5,17.2,17.5,100.0,0.0,1000,0.0,500000,Compliant,Normal,77.0,Service delivery against 13.5h minimum requirement
